Store,Date,Base_Sim_Price,Price_Multiplier,Optimal_Price,Optimal_Demand,Optimal_Revenue
1,2012-10-26,84.11,1.2,100.932,1549488.4342544603,156392966.64617118
2,2012-10-26,86.4,1.2,103.68,1840545.9317015354,190827802.1988152
3,2012-10-26,83.14,1.2,99.768,420233.5794142829,41925863.75100418
4,2012-10-26,81.32,1.2,97.58399999999999,2215043.027186829,216152758.7649995
5,2012-10-26,78.45,1.2,94.14,331597.65635885485,31216603.369622596
6,2012-10-26,87.67,1.2,105.204,1480559.399041248,155760771.01673543
7,2012-10-26,92.63,1.2,111.15599999999999,530765.6969940297,58997791.81506836
8,2012-10-26,83.29,1.2,99.94800000000001,911610.6616808731,91113662.41367991
9,2012-10-26,83.83,1.2,100.59599999999999,564140.9950781759,56750327.540884174
10,2012-10-26,87.3,1.2,104.75999999999999,1772300.6293182545,185666213.92738032
11,2012-10-26,87.53,1.2,105.036,1308252.440994169,137413603.39226356
12,2012-10-26,87.24,1.2,104.68799999999999,954379.8515585857,99912117.8999652
13,2012-10-26,91.93,1.2,110.316,2029403.7362963688,223875702.57327023
14,2012-10-26,90.94,1.2,109.128,1643886.5365067397,179394049.9559075
15,2012-10-26,93.41,1.2,112.092,573581.6371839724,64293912.875225835
16,2012-10-26,92.06,1.2,110.472,549349.8497466028,60687776.601206705
17,2012-10-26,85.49,1.2,102.588,965074.8820985567,99005102.00472674
18,2012-10-26,95.07,1.2,114.08399999999999,1056206.8835181827,120496306.09928834
19,2012-10-26,92.41,1.2,110.892,1365945.0991826477,151472383.93856215
20,2012-10-26,84.46,1.2,101.35199999999999,2019090.8119037831,204638891.9680722
21,2012-10-26,88.79,1.2,106.548,651818.7828930913,69449987.6796931
22,2012-10-26,96.84,1.2,116.208,1005539.7709936368,116851765.70762855
23,2012-10-26,85.47,1.2,102.564,1391227.42023178,142689849.12865227
24,2012-10-26,99.19,1.2,119.02799999999999,1323609.686657273,157546613.78344187
25,2012-10-26,93.08,1.2,111.696,689245.9587003813,76986016.6029978
26,2012-10-26,88.71,1.2,106.45199999999998,1008730.4418498961,107381372.99580513
27,2012-10-26,96.03,1.2,115.23599999999999,1675345.9721769346,193060168.4497812
28,2012-10-26,99.09,1.2,118.908,1204294.7584904765,143200281.14258558
29,2012-10-26,101.55,1.2,121.85999999999999,522829.50096474605,63712002.987563945
30,2012-10-26,96.91,1.2,116.29199999999999,434194.3694412348,50493331.61106007
31,2012-10-26,88.86,1.2,106.63199999999999,1365287.1621763986,145583300.67719373
32,2012-10-26,103.17,1.2,123.804,1239603.642587171,153467889.36686212
33,2012-10-26,99.63,1.2,119.55599999999998,263736.16907424224,31531241.4298401
34,2012-10-26,97.8,1.2,117.35999999999999,969426.8649895885,113771936.8751781
35,2012-10-26,96.58,1.2,115.89599999999999,858543.5419803731,99501762.3413573
36,2012-10-26,100.13,1.2,120.15599999999999,294034.7418260661,35330038.438852794
37,2012-10-26,101.6,1.2,121.91999999999999,543734.6665553382,66292130.546426825
38,2012-10-26,97.18,1.2,116.616,432054.2660606073,50384440.290923774
39,2012-10-26,90.0,1.2,108.0,1549244.191334691,167318372.6641466
40,2012-10-26,102.43,1.2,122.916,962398.0903319989,118294123.67124797
41,2012-10-26,95.95,1.2,115.14,1383065.5203758164,159246164.0160715
42,2012-10-26,104.54,1.2,125.44800000000001,577119.4208097034,72398477.10173568
43,2012-10-26,100.92,1.2,121.104,630310.8447914767,76333164.547627
44,2012-10-26,111.76,1.2,134.112,349570.34653598326,46881578.31463379
45,2012-10-26,105.01,1.2,126.012,747802.7387587668,94232118.71646972
