Store,Elasticity,LogLog_Intercept
1,-0.034598109120505365,14.409727960807672
2,-0.0438071175815564,14.633426891611354
3,-0.12403197741302238,13.507122004254848
4,-0.021182153882324778,14.706252198421293
5,-0.18990027823513494,13.557216283467996
6,-0.03463509044245879,14.367065241852583
7,-0.009204045382681719,13.2269798225563
8,-0.1051334964259063,14.196634371560295
9,-0.14249770642474072,13.885840273381707
10,-0.027761411339628162,14.520859976182319
11,-0.04453715825642285,14.289660660424094
12,-0.049227300212600016,13.994375431619575
13,-0.012177123046828506,14.579916120382258
14,-0.04334038498971875,14.51458321332292
15,-0.011946618321251124,13.317307888873835
16,-0.0453332647528162,13.426145081987105
17,-0.06876993113320788,14.090905866934845
18,-0.008684587993583683,13.911756830054225
19,-0.01515450660115666,14.199860532276066
20,-0.024617894899589723,14.628858927227023
21,-0.0582115481814959,13.655065391551426
22,-0.007220592053294858,13.855675863331273
23,-0.06753520081963978,14.454300562802345
24,-0.02790407460755784,14.22764149942303
25,-0.008073914712641364,13.482982395721027
26,-0.03842860436855472,14.000937703957282
27,-0.028991651792092725,14.467566409482007
28,-0.023744098558559162,14.113451953401588
29,-0.017590258168150102,13.251088095928319
30,-0.014502828351261599,13.050623614503653
31,-0.037751255358075726,14.299808331479129
32,-0.008430764280078032,14.07019337044359
33,-0.023506111200802284,12.598533441701578
34,-0.004864478742456598,13.807725401918594
35,-0.009165093389261709,13.70643340957488
36,-0.01560061540354607,12.664726094939601
37,-0.008678280641153498,13.2469501353651
38,-0.007328155999644882,13.01185884438188
39,-0.022906080163078497,14.357886015368484
40,-0.03736096016062305,13.952593771118705
41,-0.004263287846783479,14.160164498618753
42,-0.013056494834596671,13.32879045935456
43,-0.010458351627105615,13.403713475797876
44,-0.014473974487695468,12.834095179722132
45,-0.010665469486343379,13.575700323952777
