Store,Elasticity_Segment,Elasticity,Current_Price,Baseline_Demand,Baseline_Revenue,Recommended_Multiplier,Recommended_Price,Recommended_Demand,Recommended_Revenue,Price_Change_Pct,Expected_Demand_Change_Pct,Expected_Revenue_Change_Pct,Expected_Revenue_Change_Abs,Implementation_Risk,Decision_Type
1,LowSensitivity,-0.0345981091205053,84.11,1551172.33360565,130469104.97957122,1.14,95.8854,1549488.4342544605,148573318.31386262,14.000000000000012,-0.1085565616862016,13.876245519677743,18104213.3342914,HIGH,GuardrailedOptimum
2,LowSensitivity,-0.0438071175815564,86.4,1858218.5247467293,160550080.5381174,1.14,98.49600000000002,1858218.5247467293,183027091.81345388,14.000000000000012,0.0,14.000000000000012,22477011.275336474,HIGH,GuardrailedOptimum
3,HighSensitivity,-0.1240319774130223,83.14,420233.5794142829,34938219.79250348,1.04,86.46560000000001,420233.5794142829,36335748.58420362,4.0000000000000036,0.0,4.000000000000004,1397528.7917001396,LOW,GuardrailedOptimum
4,LowSensitivity,-0.0211821538823247,81.32,2215051.5996765974,180127996.0857009,1.14,92.7048,2215043.027186829,205345120.8267496,14.000000000000012,-0.0003870108384651,13.999558807644163,25217124.741048694,HIGH,GuardrailedOptimum
5,HighSensitivity,-0.1899002782351349,78.45,331597.65635885485,26013836.14135216,1.04,81.58800000000001,331597.65635885485,27054389.58700625,4.0000000000000036,0.0,4.000000000000026,1040553.4456540868,LOW,GuardrailedOptimum
6,LowSensitivity,-0.0346350904424587,87.67,1484217.438084295,130121342.79685014,1.14,99.9438,1484217.438084295,148338330.78840917,13.99999999999999,0.0,14.000000000000012,18216987.99155903,HIGH,GuardrailedOptimum
7,LowSensitivity,-0.0092040453826817,92.63,532978.1697119288,49369767.860415965,1.14,105.5982,530765.6969940297,56047902.22431495,14.000000000000012,-0.415115072929717,13.526768816860146,6678134.363898985,HIGH,GuardrailedOptimum
8,HighSensitivity,-0.1051334964259063,83.29,911610.6616808733,75928052.01139992,1.04,86.62160000000002,911610.6616808733,78965174.09185593,4.0000000000000036,0.0,4.000000000000004,3037122.0804560035,LOW,GuardrailedOptimum
9,HighSensitivity,-0.1424977064247407,83.83,564140.9950781759,47291939.617403485,1.04,87.1832,564140.9950781759,49183617.20209963,4.0000000000000036,0.0,4.000000000000004,1891677.5846961439,LOW,GuardrailedOptimum
10,LowSensitivity,-0.0277614113396281,87.3,1786696.7630121417,155978627.41095996,1.14,99.522,1786696.7630121417,177815635.2484944,14.000000000000012,0.0,14.000000000000012,21837007.837534428,HIGH,GuardrailedOptimum
11,LowSensitivity,-0.0445371582564228,87.53,1313605.361643995,114979877.30469888,1.14,99.7842,1313605.361643995,131077060.12735674,13.99999999999999,0.0,14.000000000000012,16097182.822657853,HIGH,GuardrailedOptimum
12,LowSensitivity,-0.0492273002126,87.24,956778.8758593744,83469389.12997183,1.14,99.4536,956778.8758593744,95155103.6081679,13.99999999999999,0.0,14.000000000000012,11685714.47819607,HIGH,GuardrailedOptimum
13,LowSensitivity,-0.0121771230468285,91.93,2035448.1882792232,187118751.948509,1.14,104.80020000000002,2018800.9513242317,211570743.45896977,14.000000000000012,-0.8178659152736967,13.067632856588007,24451991.510460764,HIGH,GuardrailedOptimum
14,LowSensitivity,-0.0433403849897187,90.94,1660953.2450983345,151047088.10924253,1.14,103.6716,1633283.7515346024,169325139.7755947,13.99999999999999,-1.6658803398222122,12.1008964126027,18278051.666352183,HIGH,GuardrailedOptimum
15,LowSensitivity,-0.0119466183212511,93.41,576696.8247656863,53869250.401362754,1.14,106.4874,573581.6371839724,61079217.23146455,13.99999999999999,-0.5401776892008381,13.384197434311051,7209966.8301017955,HIGH,GuardrailedOptimum
16,LowSensitivity,-0.0453332647528162,92.06,551406.9556730496,50762524.33926094,1.14,104.94840000000002,549349.8497466028,57653387.77114638,14.000000000000012,-0.3730649215216819,13.574705989465308,6890863.431885436,HIGH,GuardrailedOptimum
17,MediumSensitivity,-0.0687699311332078,85.49,965074.8820985568,82504251.67060561,1.1,94.039,965074.8820985568,90754676.83766618,10.000000000000009,0.0,10.000000000000009,8250425.167060569,MEDIUM,GuardrailedOptimum
18,LowSensitivity,-0.0086845879935836,95.07,1059201.3782103907,100698275.02646184,1.14,108.3798,1056206.883518183,114471490.79432394,14.000000000000012,-0.2827124996067742,13.677707750448276,13773215.767862096,HIGH,GuardrailedOptimum
19,LowSensitivity,-0.0151545066011566,92.41,1374956.4119335045,127059722.02677512,1.14,105.3474,1365945.0991826477,143898764.74163407,13.99999999999999,-0.6553889761628628,13.252856567174366,16839042.71485895,HIGH,GuardrailedOptimum
20,LowSensitivity,-0.0246178948995897,84.46,2023713.9051249304,170922876.4268516,1.14,96.2844,2017245.4957048453,194229272.20664364,14.000000000000012,-0.319630625836198,13.635621086546768,23306395.77979204,HIGH,GuardrailedOptimum
21,MediumSensitivity,-0.0582115481814959,88.79,653875.888819538,58057640.16828679,1.1,97.669,653875.888819538,63863404.18511547,9.999999999999986,0.0,10.000000000000009,5805764.016828679,MEDIUM,GuardrailedOptimum
22,LowSensitivity,-0.0072205920532948,96.84,1007973.0907411386,97612114.10737188,1.14,110.3976,1005539.7709936368,111009177.42224713,13.99999999999999,-0.2414072131342926,13.724795777026898,13397063.314875245,HIGH,GuardrailedOptimum
23,MediumSensitivity,-0.0675352008196397,85.47,1397721.160581457,119463227.59489712,1.1,94.017,1397721.160581457,131409550.35438684,9.999999999999986,0.0,10.000000000000009,11946322.759489715,MEDIUM,GuardrailedOptimum
24,LowSensitivity,-0.0279040746075578,99.19,1329703.6074718898,131893300.82513677,1.14,113.0766,1323609.686657273,149669283.0942698,14.000000000000012,-0.4582916659301994,13.47754750083958,17775982.269133046,HIGH,GuardrailedOptimum
25,LowSensitivity,-0.0080739147126413,93.08,691916.8397369512,64403619.44271541,1.14,106.1112,690021.4485095278,73219003.92708422,13.99999999999999,-0.2739333860039994,13.687715939955458,8815384.484368816,HIGH,GuardrailedOptimum
26,LowSensitivity,-0.0384286043685547,88.71,1011058.5662110096,89691005.40857866,1.14,101.1294,1011058.5662110096,102247746.1657797,14.000000000000012,0.0,14.000000000000012,12556740.75720103,HIGH,GuardrailedOptimum
27,LowSensitivity,-0.0289916517920927,96.03,1689644.616883366,162256572.55930966,1.14,109.4742,1675345.9721769346,183407160.0272922,13.99999999999999,-0.8462516060215086,13.035273169135486,21150587.46798253,HIGH,GuardrailedOptimum
28,LowSensitivity,-0.0237440985585591,99.09,1210660.426397992,119964341.65177704,1.14,112.96260000000002,1204294.7584904763,136040267.08545634,14.000000000000012,-0.5258012708365234,13.400586551246384,16075925.433679298,HIGH,GuardrailedOptimum
29,LowSensitivity,-0.0175902581681501,101.55,524931.6374482454,53306807.78286933,1.14,115.767,522829.50096474605,60526402.838185765,13.99999999999999,-0.4004590947724318,13.543476631959429,7219595.055316433,HIGH,GuardrailedOptimum
30,LowSensitivity,-0.0145028283512615,96.91,436251.4753676815,42277130.47788201,1.14,110.4774,434194.3694412348,47968665.03050707,14.000000000000012,-0.4715413110552569,13.462442905396998,5691534.55262506,HIGH,GuardrailedOptimum
31,LowSensitivity,-0.0377512553580757,88.86,1369460.9005877257,121690295.62622528,1.14,101.3004,1367777.0012365356,138556357.33606157,13.99999999999999,-0.1229607468506199,13.85982474859031,16866061.70983629,HIGH,GuardrailedOptimum
32,LowSensitivity,-0.008430764280078,103.17,1236153.4556705395,127533952.02152956,1.14,117.6138,1239603.642587171,145794494.898519,13.99999999999999,0.2791066837862788,14.318181619516343,18260542.876989454,HIGH,GuardrailedOptimum
33,LowSensitivity,-0.0235061112008022,99.63,266524.82597903936,26553868.41229169,1.14,113.5782,265433.8223964506,30147495.76690855,13.99999999999999,-0.4093440746396171,13.53334775491084,3593627.354616858,HIGH,GuardrailedOptimum
34,LowSensitivity,-0.0048644787424565,97.8,970962.1751173214,94960100.72647405,1.14,111.492,969426.8649895884,108083340.0314192,14.000000000000012,-0.1581225476211201,13.819740295711934,13123239.304945156,HIGH,GuardrailedOptimum
35,LowSensitivity,-0.0091650933892617,96.58,860078.852108106,83066415.53660087,1.14,110.1012,858543.5419803731,94526674.22428946,14.000000000000012,-0.1785080663208704,13.79650080439423,11460258.68768859,HIGH,GuardrailedOptimum
36,LowSensitivity,-0.015600615403546,100.13,295080.7148516024,29546431.97809094,1.14,114.1482,293590.43528092204,33512819.724533748,14.000000000000012,-0.5050413312946422,13.424252882324115,3966387.7464428097,HIGH,GuardrailedOptimum
37,LowSensitivity,-0.0086782806411534,101.6,544780.6395808745,55349712.98141685,1.14,115.824,543290.3600101941,62926062.65782073,14.000000000000012,-0.2735558979898522,13.68814627629158,7576349.67640388,HIGH,GuardrailedOptimum
38,LowSensitivity,-0.0073281559996448,97.18,433589.5761883401,42136235.01398289,1.14,110.78520000000002,432054.2660606073,47865218.2763776,14.000000000000012,-0.3540929515025826,13.59633403528706,5728983.262394711,HIGH,GuardrailedOptimum
39,LowSensitivity,-0.0229060801630784,90.0,1553044.0858353,139773967.725177,1.14,102.6,1550927.4533504196,159125156.71375307,13.99999999999999,-0.1362892724157238,13.844630229446086,19351188.988576084,HIGH,GuardrailedOptimum
40,LowSensitivity,-0.037360960160623,102.43,963220.4319760918,98662668.8473111,1.14,116.77020000000002,962398.0903319988,112379417.4876856,14.000000000000012,-0.0853741902469673,13.90267342311846,13716748.640374511,HIGH,GuardrailedOptimum
41,LowSensitivity,-0.0042632878467834,95.95,1384988.533080187,132889649.74904394,1.14,109.383,1383065.5203758164,151283855.81526795,13.99999999999999,-0.1388468321895652,13.841714611303924,18394206.06622401,HIGH,GuardrailedOptimum
42,LowSensitivity,-0.0130564948345966,104.54,577937.49112756,60417585.32247513,1.14,119.17560000000002,577119.4208097034,68778553.2466489,14.000000000000012,-0.1415499652497986,13.838633039615232,8360967.924173765,HIGH,GuardrailedOptimum
43,LowSensitivity,-0.0104583516271056,100.92,631846.1549192097,63765913.95444664,1.14,115.0488,630310.8447914767,72516506.32024565,13.99999999999999,-0.2429879672100288,13.722993717380572,8750592.36579901,HIGH,GuardrailedOptimum
44,LowSensitivity,-0.0144739744876954,111.76,349570.34653598326,39067981.92886149,1.14,127.40640000000002,349570.34653598326,44537499.3989021,14.000000000000012,0.0,14.000000000000012,5469517.470040612,HIGH,GuardrailedOptimum
45,LowSensitivity,-0.0106654694863433,105.01,747802.7387587668,78526765.5970581,1.14,119.7114,747802.7387587668,89520512.78064625,13.99999999999999,0.0,14.000000000000012,10993747.183588147,HIGH,GuardrailedOptimum
